Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Aguascalientes,Hombre,NO ESPECIFICADO,"Servicios Profesionales, Financieros y Corporativos",134
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,Construcción,20201
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",284
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,Servicios Diversos,3366
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,Servicios Sociales,11841
20200301,Aguascalientes,Hombre,15 A 24 AÑOS,Comercio,12968
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",8243
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",197
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",7191
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,Gobierno y Organismos Internacionales,889
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,Servicios Sociales,3874
20200301,Aguascalientes,Hombre,65 AÑOS Y MAS,"Transportes, Comunicaciones, Correo y Almacenamiento",772
20200301,Aguascalientes,Mujer,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,12446
20200301,Aguascalientes,Hombre,15 A 24 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",4003
20200301,Aguascalientes,Hombre,15 A 24 AÑOS,Construcción,9961
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",1182
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,Servicios Sociales,5713
20200301,Aguascalientes,Hombre,65 AÑOS Y MAS,"Servicios Profesionales, Financieros y Corporativos",1649
20200301,Aguascalientes,Mujer,25 A 44 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",1431
20200301,Aguascalientes,Mujer,25 A 44 AÑOS,Construcción,1532
20200301,Aguascalientes,Mujer,25 A 44 AÑOS,Servicios Diversos,16154
20200301,Aguascalientes,Hombre,15 A 24 AÑOS,"Servicios Profesionales, Financieros y Corporativos",6339
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,Comercio,26652
